n_neighbors,n_topics,n_outliers,coherence_cv,irbo
5,24,792,0.6836736173166547,0.9996155966229814
7,114,825,0.7017024799328533,0.9993786945925253
10,213,944,0.6932078411160304,0.9994545631412822
12,158,1004,0.7024360858740822,0.9994211759410805
15,205,1092,0.6904061483182423,0.9995547813112006
18,32,1155,0.668056580770588,0.9994661053381336
20,88,1120,0.6789543930921214,0.9995154499437685
25,94,1166,0.7341171456830166,0.9996322287926889
30,187,1174,0.7056259421207979,0.9994894935585404
