n_topics,coherence_cv,irbo,n_posts
3,0.6311535759965976,1.0,6416
4,0.6458399338700525,0.99839681965,6416
5,0.6947635562852363,0.99860762458,6416
6,0.6900926981569686,0.9966962386514285,6416
7,0.6733318926277004,0.995168991387755,6416
8,0.6724325031915748,0.9960332048943877,6416
9,0.6415500651723683,0.9969464411714286,6416
10,0.6131298885907214,0.9965662179142857,6416
11,0.5955107155302561,0.9956198623038961,6416
12,0.5845524599402595,0.994172033501948,6416
13,0.585903881286146,0.9926566287598901,6416
14,0.5876239104797399,0.9939769683802198,6416
