n_topics,coherence_cv,irbo,n_posts
3,0.5791962466539722,0.9945793018,461
4,0.4953260168963293,1.0,461
5,0.4862309882226586,0.9954735567271429,461
6,0.4693174650372492,0.9917095808028571,461
7,0.46774048430342613,0.9918699839897959,461
8,0.4693744242845215,0.9954302110566327,461
9,0.47530893729422163,0.9919970691488095,461
10,0.4504541995564537,0.9881177439726985,461
11,0.45094125544472496,0.9870334042046753,461
12,0.4448360283899843,0.9872603622909091,461
13,0.4390956133380869,0.990434746554945,461
14,0.4114326365000188,0.990053358033595,461
