n_topics,coherence_cv,irbo,n_posts
3,0.4689764121126648,0.9885610839571428,2476
4,0.5272614090792088,0.9922586761,2476
5,0.563656440220619,0.9910638648871428,2476
6,0.5319171021457735,0.99475999174,2476
7,0.5079367188079255,0.9901362962469388,2476
8,0.5386957900681564,0.9683663881780612,2476
9,0.44671538424942064,0.9896899223134921,2476
10,0.5037771098982133,0.9728671683362611,2476
11,0.4557551136384115,0.9861814355911689,2476
12,0.45039229742563963,0.987063496289442,2476
13,0.4752856157815142,0.9898551222974359,2476
14,0.4660626745532139,0.9887316618741322,2476
