n_topics,coherence_cv,irbo,n_posts
3,0.5464077103624915,0.9632441343571428,3478
4,0.5986234099862016,0.9630652874238095,3478
5,0.49020676047849143,0.9140712629760318,3478
6,0.47691662477425245,0.894657720868254,3478
7,0.4760309700157311,0.8969018439688586,3478
8,0.47894804601587326,0.9304056222219388,3478
9,0.4789324963883295,0.9683522610480159,3478
10,0.41260585270935213,0.9561665219631746,3478
11,0.44993093534307677,0.9756499521268109,3478
12,0.48789881456248135,0.971369986461568,3478
13,0.44020782682359605,0.975817013773891,3478
14,0.47053224002387145,0.9840157589695796,3478
