n_neighbors,n_topics,n_outliers,coherence_cv,irbo
5,190,513,0.6341422617183095,0.9993038161519219
7,127,560,0.6122617492607592,0.9989706515800223
10,119,485,0.6293197052891023,0.9989197218752791
12,40,526,0.6125875125085675,0.9988407772558059
15,92,574,0.6168609721316137,0.9987458094119351
18,106,635,0.6429806204435508,0.9987132394942495
20,114,549,0.6445697751174724,0.9989339843924999
25,22,661,0.6693484993738177,0.9989770216533086
30,158,654,0.6488260424568265,0.9989561253801569
