n_neighbors,n_topics,n_outliers,coherence_cv,irbo
5,31,70,0.6156637862278828,0.9964992275106981
7,38,90,0.6221484770128062,0.992789215183278
10,23,105,0.587865676012913,0.9937611364005208
12,39,99,0.5599124396720526,0.9923587381590986
15,24,102,0.6373387703376688,0.9937290297504255
18,43,152,0.6549092305793485,0.9942670354977448
20,20,84,0.6054207197665104,0.9892865951755221
25,37,141,0.6529378057704863,0.9948056765783283
30,25,132,0.6722021290218392,0.9909673417451746
